heading,word1UI,word1,word2UI,word2
,D000001,calcimicina,D000900,antibacterianos
,D000002,temefós,D007306,inseticidas
,D000068180,aripiprazol,D000928,antidepressivos
,D000068180,aripiprazol,D014150,antipsicóticos
,D000068196,abraxane,D000970,antineoplásicos
,D000068298,fluticasona,D000893,anti-inflamatórios
,D000068298,fluticasona,D001993,broncodilatadores
,D000068298,fluticasona,D018926,antialérgicos
,D000068338,everolimo,D000970,antineoplásicos
,D000068338,everolimo,D007166,imunossupressores
,D000068437,pemetrexede,D000970,antineoplásicos
,D000068577,nebivolol,D000959,anti-hipertensivos
,D000068577,nebivolol,D014665,vasodilatadores
,D000068581,cialis,D014665,vasodilatadores
,D000068677,viagra,D014665,vasodilatadores
,D000068678,complera,D000998,antivirais
,D000068679,emtricitabina,D000998,antivirais
,D000068698,tenofovir,D000998,antivirais
,D000068718,rosuvastatina,D000924,anticolesterolemiantes
,D000068756,valsartana,D000959,anti-hipertensivos
,D000068759,formoterol,D001993,broncodilatadores
,D000068800,etanercepte,D007166,imunossupressores
,D000068800,etanercepte,D018501,antirreumáticos
,D000068877,glivec,D000970,antineoplásicos
,D000068879,adalimumab,D000893,anti-inflamatórios
,D000068879,adalimumab,D018501,antirreumáticos
,D000068900,sitagliptina,D007004,hipoglicemiantes
,D000068900,sitagliptina,D054795,incretinas
,D000068937,cosmecêuticos,D003358,cosméticos
,D000069036,lantus,D007004,hipoglicemiantes
,D000069056,lurasidona,D014150,antipsicóticos
,D000069058,levitra,D014665,vasodilatadores
,D000069283,rituximab,D018501,antirreumáticos
,D000069285,infliximab,D018501,antirreumáticos
,D000069286,velcade,D000970,antineoplásicos
,D000069347,tarceva,D000970,antineoplásicos
,D000069348,seroquel,D000928,antidepressivos
,D000069348,seroquel,D014150,antipsicóticos
,D000069349,linezolida,D000900,antibacterianos
,D000069438,ezetimiba,D000924,anticolesterolemiantes
,D000069439,dasatinibe,D000970,antineoplásicos
,D000069444,omalizumab,D018926,antialérgicos
,D000069444,omalizumab,D018927,antiasmáticos
,D000069447,spiriva,D001993,broncodilatadores
,D000069447,spiriva,D010276,parassimpatolíticos
,D000069450,liraglutida,D007004,hipoglicemiantes
,D000069450,liraglutida,D054795,incretinas
,D000069455,palivizumab,D000998,antivirais
,D000069474,sofosbuvir,D000998,antivirais
,D000069476,linagliptina,D007004,hipoglicemiantes
,D000069476,linagliptina,D054795,incretinas
,D000069503,vilazodona,D000928,antidepressivos
,D000069557,travoprost,D000959,anti-hipertensivos
,D000069580,bimatoprost,D000959,anti-hipertensivos
,D000069583,pregabalina,D000700,analgésicos
,D000069583,pregabalina,D000927,anticonvulsivantes
,D000069583,pregabalina,D014151,ansiolíticos
,D000069594,abatacepte,D007166,imunossupressores
,D000069594,abatacepte,D018501,antirreumáticos
,D000069603,renagel,D002614,quelantes
,D000069605,olopatadina,D018926,antialérgicos
,D000069616,simeprevir,D000998,antivirais
,D000070,acebutolol,D000889,antiarrítmicos
,D000070,acebutolol,D000959,anti-hipertensivos
,D000070,acebutolol,D013566,simpatomiméticos
,D000072,acedapsona,D000890,anti-infecciosos
,D000072,acedapsona,D000962,antimaláricos
,D000072,acedapsona,D007917,hansenostáticos
,D000072317,tetraclorodibenzodioxina,D013723,teratogênios
,D000072743,beta-criptoxantina,D000072664,provitaminas
,D000073738,2-hidroxipropil-beta-ciclodextrina,D005079,excipientes
,D000073893,açúcares,D013549,edulcorantes
,D000073943,neonicotinoides,D007306,inseticidas
,D000074,acenocumarol,D000925,anticoagulantes
,D000075,acepromazina,D014150,antipsicóticos
,D000077145,sulfanilamida,D000900,antibacterianos
,D000077150,oxaliplatina,D000970,antineoplásicos
,D000077154,rosiglitazona,D007004,hipoglicemiantes
,D000077156,zd1839,D000970,antineoplásicos
,D000077185,resveratrol,D000975,antioxidantes
,D000077185,resveratrol,D016587,antimutagênicos
,D000077185,resveratrol,D016588,anticarcinógenos
,D000077191,wortmanina,D000935,antifúngicos
,D000077191,wortmanina,D007166,imunossupressores
,D000077191,wortmanina,D011838,radiossensibilizantes
,D000077205,pioglitazona,D007004,hipoglicemiantes
,D000077206,gabapentina,D000700,analgésicos
,D000077206,gabapentina,D000927,anticonvulsivantes
,D000077206,gabapentina,D014151,ansiolíticos
,D000077206,gabapentina,D018692,antimaníacos
,D000077210,sunitinibe,D000970,antineoplásicos
,D000077213,lamotrigina,D000927,anticonvulsivantes
,D000077213,lamotrigina,D014150,antipsicóticos
,D000077214,becaplermina,D000925,anticoagulantes
,D000077236,topiramato,D000927,anticonvulsivantes
,D000077236,topiramato,D007004,hipoglicemiantes
,D000077261,carvedilol,D000959,anti-hipertensivos
,D000077261,carvedilol,D000975,antioxidantes
,D000077261,carvedilol,D014665,vasodilatadores
,D000077266,moxifloxacina,D000900,antibacterianos
,D000077270,exenatida,D007004,hipoglicemiantes
,D000077270,exenatida,D054795,incretinas
,D000077276,licopeno,D000893,anti-inflamatórios
,D000077276,licopeno,D000975,antioxidantes
,D000077276,licopeno,D016588,anticarcinógenos
,D000077284,abciximab,D000925,anticoagulantes
